run_uid,case_uid,seed,part_size,part,edit,source_prompt,target_prompt,gt_area,pred_attention_area,pred_to_gt_area_ratio,binary_iou,soft_ap,soft_inside_gt_mass,attention_raw_path,attention_smoothed_path,attention_binary_path,attention_config_path,attention_log_path,token_indices,recorded_step_indices,layer_ids
real_0006_seed_000,real_0006,0,small,head,alien,a man standing in a park wearing a green shirt,a man with alien head standing in a park wearing a green shirt,0.0071868896484375,0.267578125,37.231422505307854,0.026859032846715328,0.05593009782749385,0.019802190363407135,core/results/flux_attention_baseline/real_0006/seed_000/attention_proxy_raw.npy,core/results/flux_attention_baseline/real_0006/seed_000/attention_proxy_smoothed.npy,core/results/flux_attention_baseline/real_0006/seed_000/attention_proxy_binary.npy,core/results/flux_attention_baseline/real_0006/seed_000/run_config.json,core/results/flux_attention_baseline/real_0006/seed_000/run.log,"[4, 5]","[2, 3, 4, 5, 6, 7, 8]","[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]"
real_0006_seed_001,real_0006,1,small,head,alien,a man standing in a park wearing a green shirt,a man with alien head standing in a park wearing a green shirt,0.0071868896484375,0.267578125,37.231422505307854,0.026859032846715328,0.05593009782749385,0.019802190363407135,core/results/flux_attention_baseline/real_0006/seed_001/attention_proxy_raw.npy,core/results/flux_attention_baseline/real_0006/seed_001/attention_proxy_smoothed.npy,core/results/flux_attention_baseline/real_0006/seed_001/attention_proxy_binary.npy,core/results/flux_attention_baseline/real_0006/seed_001/run_config.json,core/results/flux_attention_baseline/real_0006/seed_001/run.log,"[4, 5]","[2, 3, 4, 5, 6, 7, 8]","[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]"
real_0006_seed_002,real_0006,2,small,head,alien,a man standing in a park wearing a green shirt,a man with alien head standing in a park wearing a green shirt,0.0071868896484375,0.267578125,37.231422505307854,0.026859032846715328,0.05593009782749385,0.019802190363407135,core/results/flux_attention_baseline/real_0006/seed_002/attention_proxy_raw.npy,core/results/flux_attention_baseline/real_0006/seed_002/attention_proxy_smoothed.npy,core/results/flux_attention_baseline/real_0006/seed_002/attention_proxy_binary.npy,core/results/flux_attention_baseline/real_0006/seed_002/run_config.json,core/results/flux_attention_baseline/real_0006/seed_002/run.log,"[4, 5]","[2, 3, 4, 5, 6, 7, 8]","[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]"
real_0008_seed_000,real_0008,0,small,head,bear,a dog standing in a field with grass and water,a dog with bear head standing in a field with grass and water,0.024127960205078125,0.267578125,11.0899604743083,0.08886768810161189,0.8512042014575373,0.09169015288352966,core/results/flux_attention_baseline/real_0008/seed_000/attention_proxy_raw.npy,core/results/flux_attention_baseline/real_0008/seed_000/attention_proxy_smoothed.npy,core/results/flux_attention_baseline/real_0008/seed_000/attention_proxy_binary.npy,core/results/flux_attention_baseline/real_0008/seed_000/run_config.json,core/results/flux_attention_baseline/real_0008/seed_000/run.log,"[4, 5]","[2, 3, 4, 5, 6, 7, 8]","[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]"
real_0008_seed_001,real_0008,1,small,head,bear,a dog standing in a field with grass and water,a dog with bear head standing in a field with grass and water,0.024127960205078125,0.267578125,11.0899604743083,0.08886768810161189,0.8512042014575373,0.09169015288352966,core/results/flux_attention_baseline/real_0008/seed_001/attention_proxy_raw.npy,core/results/flux_attention_baseline/real_0008/seed_001/attention_proxy_smoothed.npy,core/results/flux_attention_baseline/real_0008/seed_001/attention_proxy_binary.npy,core/results/flux_attention_baseline/real_0008/seed_001/run_config.json,core/results/flux_attention_baseline/real_0008/seed_001/run.log,"[4, 5]","[2, 3, 4, 5, 6, 7, 8]","[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]"
real_0008_seed_002,real_0008,2,small,head,bear,a dog standing in a field with grass and water,a dog with bear head standing in a field with grass and water,0.024127960205078125,0.267578125,11.0899604743083,0.08886768810161189,0.8512042014575373,0.09169015288352966,core/results/flux_attention_baseline/real_0008/seed_002/attention_proxy_raw.npy,core/results/flux_attention_baseline/real_0008/seed_002/attention_proxy_smoothed.npy,core/results/flux_attention_baseline/real_0008/seed_002/attention_proxy_binary.npy,core/results/flux_attention_baseline/real_0008/seed_002/run_config.json,core/results/flux_attention_baseline/real_0008/seed_002/run.log,"[4, 5]","[2, 3, 4, 5, 6, 7, 8]","[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]"
real_0003_seed_000,real_0003,0,small,head,cheetah,a horse running in a field,a horse with cheetah head running in a field,0.02970123291015625,0.0224609375,0.7562291292062676,0.6919079435783222,0.9393947373210666,0.1391969472169876,core/results/flux_attention_baseline/real_0003/seed_000/attention_proxy_raw.npy,core/results/flux_attention_baseline/real_0003/seed_000/attention_proxy_smoothed.npy,core/results/flux_attention_baseline/real_0003/seed_000/attention_proxy_binary.npy,core/results/flux_attention_baseline/real_0003/seed_000/run_config.json,core/results/flux_attention_baseline/real_0003/seed_000/run.log,"[4, 5, 6, 7, 8, 9, 10]","[2, 3, 4, 5, 6, 7, 8]","[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]"
real_0003_seed_001,real_0003,1,small,head,cheetah,a horse running in a field,a horse with cheetah head running in a field,0.02970123291015625,0.0224609375,0.7562291292062676,0.6919079435783222,0.9393947373210666,0.1391969472169876,core/results/flux_attention_baseline/real_0003/seed_001/attention_proxy_raw.npy,core/results/flux_attention_baseline/real_0003/seed_001/attention_proxy_smoothed.npy,core/results/flux_attention_baseline/real_0003/seed_001/attention_proxy_binary.npy,core/results/flux_attention_baseline/real_0003/seed_001/run_config.json,core/results/flux_attention_baseline/real_0003/seed_001/run.log,"[4, 5, 6, 7, 8, 9, 10]","[2, 3, 4, 5, 6, 7, 8]","[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]"
real_0003_seed_002,real_0003,2,small,head,cheetah,a horse running in a field,a horse with cheetah head running in a field,0.02970123291015625,0.0224609375,0.7562291292062676,0.6919079435783222,0.9393947373210666,0.1391969472169876,core/results/flux_attention_baseline/real_0003/seed_002/attention_proxy_raw.npy,core/results/flux_attention_baseline/real_0003/seed_002/attention_proxy_smoothed.npy,core/results/flux_attention_baseline/real_0003/seed_002/attention_proxy_binary.npy,core/results/flux_attention_baseline/real_0003/seed_002/run_config.json,core/results/flux_attention_baseline/real_0003/seed_002/run.log,"[4, 5, 6, 7, 8, 9, 10]","[2, 3, 4, 5, 6, 7, 8]","[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]"
real_0002_seed_000,real_0002,0,small,seat,mesh,a chair and table in front of a glass door,a chair with mesh seat and table in front of a glass door,0.029911041259765625,0.0986328125,3.297538579262849,0.1530196749358426,0.15872140186416306,0.12476705759763718,core/results/flux_attention_baseline/real_0002/seed_000/attention_proxy_raw.npy,core/results/flux_attention_baseline/real_0002/seed_000/attention_proxy_smoothed.npy,core/results/flux_attention_baseline/real_0002/seed_000/attention_proxy_binary.npy,core/results/flux_attention_baseline/real_0002/seed_000/run_config.json,core/results/flux_attention_baseline/real_0002/seed_000/run.log,"[4, 5]","[2, 3, 4, 5, 6, 7, 8]","[28, 29, 30, 31, 32, 33, 34, 35, 36, 37]"
