reviewer_id,review_position,review_uid,row_uid,case_uid,seed,method,part_size,footprint_change
reviewer_1,1,item_0571e91331dd,gt-diagnostic-v1::rk2_auto::synth_0033::seed_000,synth_0033,0,rk2_auto,medium,comparable
reviewer_1,2,item_42be5b253b25,gt-diagnostic-v1::endpoint_auto::synth_0050::seed_000,synth_0050,0,endpoint_auto,small,comparable
reviewer_1,3,item_dbea3a6e4902,gt-diagnostic-v1::endpoint_auto::synth_0056::seed_000,synth_0056,0,endpoint_auto,medium,comparable
reviewer_1,4,item_17f9ea9fffb4,gt-diagnostic-v1::endpoint_auto::synth_0051::seed_000,synth_0051,0,endpoint_auto,small,comparable
reviewer_1,5,item_10dea362eb1f,gt-diagnostic-v1::rk2_auto::synth_0059::seed_000,synth_0059,0,rk2_auto,medium,comparable
reviewer_1,6,item_9debbc753b82,gt-diagnostic-v1::endpoint_gt::synth_0001::seed_000,synth_0001,0,endpoint_gt,medium,comparable
reviewer_1,7,item_f3633f9e6d6a,gt-diagnostic-v1::endpoint_auto::synth_0000::seed_000,synth_0000,0,endpoint_auto,small,comparable
reviewer_1,8,item_e82fe25d4f75,gt-diagnostic-v1::endpoint_auto::synth_0011::seed_000,synth_0011,0,endpoint_auto,small,comparable
reviewer_1,9,item_e1063af6422b,gt-diagnostic-v1::endpoint_auto::synth_0010::seed_000,synth_0010,0,endpoint_auto,medium,comparable
reviewer_1,10,item_82782d3bc9c5,gt-diagnostic-v1::endpoint_auto::synth_0029::seed_000,synth_0029,0,endpoint_auto,small,expansion
reviewer_1,11,item_0ed49acc6eaf,gt-diagnostic-v1::rk2_gt::synth_0054::seed_000,synth_0054,0,rk2_gt,small,comparable
reviewer_1,12,item_9953d96fa74a,gt-diagnostic-v1::rk2_auto::synth_0013::seed_000,synth_0013,0,rk2_auto,small,comparable
reviewer_1,13,item_7682ef73f299,gt-diagnostic-v1::endpoint_gt::synth_0006::seed_000,synth_0006,0,endpoint_gt,small,comparable
reviewer_1,14,item_b3e230287f51,gt-diagnostic-v1::endpoint_auto::synth_0038::seed_000,synth_0038,0,endpoint_auto,large,expansion
reviewer_1,15,item_b8a07b0ddb2b,gt-diagnostic-v1::rk2_gt::synth_0002::seed_000,synth_0002,0,rk2_gt,large,comparable
reviewer_1,16,item_a78e33f31752,gt-diagnostic-v1::endpoint_auto::synth_0026::seed_000,synth_0026,0,endpoint_auto,small,expansion
reviewer_1,17,item_1359f2a8f9f4,gt-diagnostic-v1::rk2_auto::synth_0016::seed_000,synth_0016,0,rk2_auto,large,comparable
reviewer_1,18,item_02ca2ecf9657,gt-diagnostic-v1::endpoint_gt::synth_0045::seed_000,synth_0045,0,endpoint_gt,medium,expansion
reviewer_1,19,item_fbf51d7e8a2b,gt-diagnostic-v1::endpoint_gt::synth_0022::seed_000,synth_0022,0,endpoint_gt,medium,comparable
reviewer_1,20,item_23dbc66f1ec5,gt-diagnostic-v1::endpoint_gt::synth_0015::seed_000,synth_0015,0,endpoint_gt,large,comparable
reviewer_1,21,item_96656761d415,gt-diagnostic-v1::endpoint_gt::synth_0027::seed_000,synth_0027,0,endpoint_gt,large,comparable
reviewer_1,22,item_7c35928e6a34,gt-diagnostic-v1::endpoint_auto::synth_0025::seed_000,synth_0025,0,endpoint_auto,medium,comparable
reviewer_1,23,item_d1687b0db0ce,gt-diagnostic-v1::endpoint_gt::synth_0009::seed_000,synth_0009,0,endpoint_gt,large,comparable
reviewer_1,24,item_c641e9790dbc,gt-diagnostic-v1::endpoint_gt::synth_0023::seed_000,synth_0023,0,endpoint_gt,small,comparable
reviewer_1,25,item_1a78353ddf74,gt-diagnostic-v1::endpoint_auto::synth_0059::seed_000,synth_0059,0,endpoint_auto,medium,comparable
reviewer_1,26,item_cd8f22c9151a,gt-diagnostic-v1::endpoint_auto::synth_0001::seed_000,synth_0001,0,endpoint_auto,medium,comparable
reviewer_1,27,item_6fbc29ee33ab,gt-diagnostic-v1::endpoint_gt::synth_0059::seed_000,synth_0059,0,endpoint_gt,medium,comparable
reviewer_1,28,item_505142665173,gt-diagnostic-v1::endpoint_auto::synth_0039::seed_000,synth_0039,0,endpoint_auto,small,expansion
reviewer_1,29,item_32174ab7b7e1,gt-diagnostic-v1::rk2_gt::synth_0022::seed_000,synth_0022,0,rk2_gt,medium,comparable
reviewer_1,30,item_feb171255548,gt-diagnostic-v1::rk2_auto::synth_0027::seed_000,synth_0027,0,rk2_auto,large,comparable
reviewer_1,31,item_723b4939b15d,gt-diagnostic-v1::rk2_auto::synth_0057::seed_000,synth_0057,0,rk2_auto,large,comparable
reviewer_1,32,item_a135ff9c29ac,gt-diagnostic-v1::endpoint_auto::synth_0018::seed_000,synth_0018,0,endpoint_auto,medium,comparable
reviewer_1,33,item_8b53b350d5aa,gt-diagnostic-v1::rk2_gt::synth_0008::seed_000,synth_0008,0,rk2_gt,small,comparable
reviewer_1,34,item_04f268ac0563,gt-diagnostic-v1::endpoint_gt::synth_0033::seed_000,synth_0033,0,endpoint_gt,medium,comparable
reviewer_1,35,item_a7cee5896eaa,gt-diagnostic-v1::endpoint_gt::synth_0054::seed_000,synth_0054,0,endpoint_gt,small,comparable
reviewer_1,36,item_d38b13cf7757,gt-diagnostic-v1::rk2_auto::synth_0049::seed_000,synth_0049,0,rk2_auto,large,comparable
reviewer_1,37,item_c2d9d461d53d,gt-diagnostic-v1::rk2_auto::synth_0015::seed_000,synth_0015,0,rk2_auto,large,comparable
reviewer_1,38,item_e8165a73e275,gt-diagnostic-v1::endpoint_auto::synth_0048::seed_000,synth_0048,0,endpoint_auto,large,comparable
reviewer_1,39,item_67d32122b0bb,gt-diagnostic-v1::rk2_gt::synth_0000::seed_000,synth_0000,0,rk2_gt,small,comparable
reviewer_1,40,item_e4bb5ff5a670,gt-diagnostic-v1::rk2_gt::synth_0001::seed_000,synth_0001,0,rk2_gt,medium,comparable
reviewer_1,41,item_41db253e21d1,gt-diagnostic-v1::endpoint_auto::synth_0044::seed_000,synth_0044,0,endpoint_auto,large,comparable
reviewer_1,42,item_09abeeee107c,gt-diagnostic-v1::rk2_gt::synth_0046::seed_000,synth_0046,0,rk2_gt,large,comparable
reviewer_1,43,item_1985cc48623b,gt-diagnostic-v1::rk2_auto::synth_0021::seed_000,synth_0021,0,rk2_auto,large,comparable
reviewer_1,44,item_0713ea430e90,gt-diagnostic-v1::rk2_gt::synth_0031::seed_000,synth_0031,0,rk2_gt,medium,expansion
reviewer_1,45,item_b2c7ee9ad770,gt-diagnostic-v1::endpoint_auto::synth_0032::seed_000,synth_0032,0,endpoint_auto,small,expansion
reviewer_1,46,item_8e03d1bd81d6,gt-diagnostic-v1::endpoint_gt::synth_0056::seed_000,synth_0056,0,endpoint_gt,medium,comparable
reviewer_1,47,item_78184ad38503,gt-diagnostic-v1::rk2_gt::synth_0038::seed_000,synth_0038,0,rk2_gt,large,expansion
reviewer_1,48,item_1a534aa50a2a,gt-diagnostic-v1::endpoint_gt::synth_0034::seed_000,synth_0034,0,endpoint_gt,small,expansion
reviewer_1,49,item_ba5cfbb88b65,gt-diagnostic-v1::endpoint_gt::synth_0002::seed_000,synth_0002,0,endpoint_gt,large,comparable
reviewer_1,50,item_40fc1968863c,gt-diagnostic-v1::endpoint_auto::synth_0028::seed_000,synth_0028,0,endpoint_auto,small,comparable
reviewer_1,51,item_86c685c36304,gt-diagnostic-v1::endpoint_gt::synth_0012::seed_000,synth_0012,0,endpoint_gt,large,comparable
reviewer_1,52,item_b9c8252ed57a,gt-diagnostic-v1::rk2_gt::synth_0056::seed_000,synth_0056,0,rk2_gt,medium,comparable
reviewer_1,53,item_164112723c69,gt-diagnostic-v1::rk2_auto::synth_0040::seed_000,synth_0040,0,rk2_auto,small,comparable
reviewer_1,54,item_e7e34f7bf98d,gt-diagnostic-v1::rk2_gt::synth_0018::seed_000,synth_0018,0,rk2_gt,medium,comparable
reviewer_1,55,item_86b2c5d158a7,gt-diagnostic-v1::endpoint_auto::synth_0019::seed_000,synth_0019,0,endpoint_auto,medium,comparable
reviewer_1,56,item_848c2505868d,gt-diagnostic-v1::rk2_gt::synth_0006::seed_000,synth_0006,0,rk2_gt,small,comparable
reviewer_1,57,item_c9ea3d8c4ab2,gt-diagnostic-v1::rk2_gt::synth_0027::seed_000,synth_0027,0,rk2_gt,large,comparable
reviewer_1,58,item_cca3261037c7,gt-diagnostic-v1::endpoint_gt::synth_0011::seed_000,synth_0011,0,endpoint_gt,small,comparable
reviewer_1,59,item_82c4c2b6514e,gt-diagnostic-v1::endpoint_gt::synth_0048::seed_000,synth_0048,0,endpoint_gt,large,comparable
reviewer_1,60,item_fd8105de7d0b,gt-diagnostic-v1::rk2_auto::synth_0051::seed_000,synth_0051,0,rk2_auto,small,comparable
reviewer_1,61,item_0695c11a384a,gt-diagnostic-v1::endpoint_gt::synth_0004::seed_000,synth_0004,0,endpoint_gt,medium,comparable
reviewer_1,62,item_4191fa8727dd,gt-diagnostic-v1::rk2_gt::synth_0053::seed_000,synth_0053,0,rk2_gt,large,comparable
reviewer_1,63,item_d39aadcb9172,gt-diagnostic-v1::rk2_gt::synth_0013::seed_000,synth_0013,0,rk2_gt,small,comparable
reviewer_1,64,item_91e2da5cc32c,gt-diagnostic-v1::endpoint_auto::synth_0014::seed_000,synth_0014,0,endpoint_auto,medium,comparable
reviewer_1,65,item_43a7c9624425,gt-diagnostic-v1::endpoint_auto::synth_0021::seed_000,synth_0021,0,endpoint_auto,large,comparable
reviewer_1,66,item_0eaea27c2213,gt-diagnostic-v1::rk2_auto::synth_0025::seed_000,synth_0025,0,rk2_auto,medium,comparable
reviewer_1,67,item_90a1d39abaa2,gt-diagnostic-v1::endpoint_gt::synth_0017::seed_000,synth_0017,0,endpoint_gt,large,comparable
reviewer_1,68,item_03754d5ef73a,gt-diagnostic-v1::rk2_gt::synth_0005::seed_000,synth_0005,0,rk2_gt,medium,comparable
reviewer_1,69,item_3212e75b00bd,gt-diagnostic-v1::endpoint_auto::synth_0033::seed_000,synth_0033,0,endpoint_auto,medium,comparable
reviewer_1,70,item_55925f31391e,gt-diagnostic-v1::rk2_auto::synth_0026::seed_000,synth_0026,0,rk2_auto,small,expansion
reviewer_1,71,item_3901fa6d9e81,gt-diagnostic-v1::endpoint_auto::synth_0005::seed_000,synth_0005,0,endpoint_auto,medium,comparable
reviewer_1,72,item_633029f3527a,gt-diagnostic-v1::rk2_gt::synth_0035::seed_000,synth_0035,0,rk2_gt,small,expansion
reviewer_1,73,item_fc1de1bd506a,gt-diagnostic-v1::endpoint_gt::synth_0003::seed_000,synth_0003,0,endpoint_gt,large,comparable
reviewer_1,74,item_7a5a1b2df272,gt-diagnostic-v1::endpoint_auto::synth_0030::seed_000,synth_0030,0,endpoint_auto,small,contraction
reviewer_1,75,item_f664fde88c1c,gt-diagnostic-v1::endpoint_auto::synth_0046::seed_000,synth_0046,0,endpoint_auto,large,comparable
reviewer_1,76,item_f9c4d15011e4,gt-diagnostic-v1::rk2_gt::synth_0039::seed_000,synth_0039,0,rk2_gt,small,expansion
reviewer_1,77,item_cfd7e4e8f0ba,gt-diagnostic-v1::endpoint_gt::synth_0053::seed_000,synth_0053,0,endpoint_gt,large,comparable
reviewer_1,78,item_e177a2fa3de9,gt-diagnostic-v1::endpoint_auto::synth_0002::seed_000,synth_0002,0,endpoint_auto,large,comparable
reviewer_1,79,item_1ff05a425df4,gt-diagnostic-v1::endpoint_gt::synth_0032::seed_000,synth_0032,0,endpoint_gt,small,expansion
reviewer_1,80,item_d57cc53fb113,gt-diagnostic-v1::rk2_gt::synth_0047::seed_000,synth_0047,0,rk2_gt,large,comparable
reviewer_1,81,item_a0c15c8fe0b9,gt-diagnostic-v1::rk2_gt::synth_0033::seed_000,synth_0033,0,rk2_gt,medium,comparable
reviewer_1,82,item_316dcc68eda0,gt-diagnostic-v1::endpoint_gt::synth_0007::seed_000,synth_0007,0,endpoint_gt,medium,comparable
reviewer_1,83,item_f8062b0c5b8e,gt-diagnostic-v1::rk2_auto::synth_0041::seed_000,synth_0041,0,rk2_auto,medium,expansion
reviewer_1,84,item_ccffbb4ab28b,gt-diagnostic-v1::endpoint_auto::synth_0042::seed_000,synth_0042,0,endpoint_auto,medium,comparable
reviewer_1,85,item_805009fe8fbb,gt-diagnostic-v1::rk2_auto::synth_0031::seed_000,synth_0031,0,rk2_auto,medium,expansion
reviewer_1,86,item_2f6a5b60b5ff,gt-diagnostic-v1::endpoint_gt::synth_0039::seed_000,synth_0039,0,endpoint_gt,small,expansion
reviewer_1,87,item_85c26a0abbc5,gt-diagnostic-v1::rk2_gt::synth_0044::seed_000,synth_0044,0,rk2_gt,large,comparable
reviewer_1,88,item_1675dd5d6d62,gt-diagnostic-v1::rk2_auto::synth_0001::seed_000,synth_0001,0,rk2_auto,medium,comparable
reviewer_1,89,item_0fa3ba2fa541,gt-diagnostic-v1::rk2_gt::synth_0023::seed_000,synth_0023,0,rk2_gt,small,comparable
reviewer_1,90,item_601ceabb3fbb,gt-diagnostic-v1::rk2_gt::synth_0009::seed_000,synth_0009,0,rk2_gt,large,comparable
reviewer_1,91,item_42ee6cee5460,gt-diagnostic-v1::endpoint_gt::synth_0046::seed_000,synth_0046,0,endpoint_gt,large,comparable
reviewer_1,92,item_1cd5945bdddd,gt-diagnostic-v1::rk2_gt::synth_0020::seed_000,synth_0020,0,rk2_gt,large,comparable
reviewer_1,93,item_4e23c86d535b,gt-diagnostic-v1::rk2_gt::synth_0010::seed_000,synth_0010,0,rk2_gt,medium,comparable
reviewer_1,94,item_cf44309b2866,gt-diagnostic-v1::rk2_gt::synth_0021::seed_000,synth_0021,0,rk2_gt,large,comparable
reviewer_1,95,item_3b59bf25ee13,gt-diagnostic-v1::rk2_gt::synth_0024::seed_000,synth_0024,0,rk2_gt,large,expansion
reviewer_1,96,item_49e245d961f5,gt-diagnostic-v1::rk2_auto::synth_0020::seed_000,synth_0020,0,rk2_auto,large,comparable
reviewer_1,97,item_1cc80685b5c9,gt-diagnostic-v1::rk2_gt::synth_0043::seed_000,synth_0043,0,rk2_gt,small,expansion
reviewer_1,98,item_aab409fcf387,gt-diagnostic-v1::endpoint_auto::synth_0017::seed_000,synth_0017,0,endpoint_auto,large,comparable
reviewer_1,99,item_d20c78331b0a,gt-diagnostic-v1::rk2_auto::synth_0005::seed_000,synth_0005,0,rk2_auto,medium,comparable
reviewer_1,100,item_990ae21eb95b,gt-diagnostic-v1::endpoint_gt::synth_0008::seed_000,synth_0008,0,endpoint_gt,small,comparable
reviewer_1,101,item_849787161f02,gt-diagnostic-v1::rk2_auto::synth_0036::seed_000,synth_0036,0,rk2_auto,medium,comparable
reviewer_1,102,item_a2c2785f73e5,gt-diagnostic-v1::rk2_auto::synth_0058::seed_000,synth_0058,0,rk2_auto,medium,comparable
reviewer_1,103,item_6fc64d86b1d5,gt-diagnostic-v1::endpoint_auto::synth_0034::seed_000,synth_0034,0,endpoint_auto,small,expansion
reviewer_1,104,item_3a3e2811b530,gt-diagnostic-v1::endpoint_gt::synth_0050::seed_000,synth_0050,0,endpoint_gt,small,comparable
reviewer_1,105,item_1d20ece5ccf7,gt-diagnostic-v1::rk2_gt::synth_0017::seed_000,synth_0017,0,rk2_gt,large,comparable
reviewer_1,106,item_ad588526b688,gt-diagnostic-v1::endpoint_auto::synth_0015::seed_000,synth_0015,0,endpoint_auto,large,comparable
