reviewer_id,review_position,review_uid,row_uid,case_uid,seed,method,part_size,footprint_change,frozen_review_position
reviewer_1,1,item_45dada8dba19,gt-diagnostic-v2::rk2_n15_gt::synth_0035::seed_000,synth_0035,0,rk2_n15_gt,small,expansion,1
reviewer_1,2,item_e1fa71bbcd96,gt-diagnostic-v2::rk2_n15_gt::synth_0046::seed_000,synth_0046,0,rk2_n15_gt,large,comparable,2
reviewer_1,3,item_124e52dc52e1,gt-diagnostic-v2::rk2_gt::synth_0009::seed_000,synth_0009,0,rk2_gt,large,comparable,3
reviewer_1,4,item_6b84759daf6c,gt-diagnostic-v2::rk2_n15_auto::synth_0010::seed_000,synth_0010,0,rk2_n15_auto,medium,comparable,4
reviewer_1,5,item_597465409638,gt-diagnostic-v2::rk2_n15_gt::synth_0030::seed_000,synth_0030,0,rk2_n15_gt,small,contraction,5
reviewer_1,6,item_2176877c6721,gt-diagnostic-v2::rk2_n15_gt::synth_0051::seed_000,synth_0051,0,rk2_n15_gt,small,comparable,6
reviewer_1,7,item_30338ac34616,gt-diagnostic-v2::rk2_gt::synth_0038::seed_000,synth_0038,0,rk2_gt,large,expansion,7
reviewer_1,8,item_182b08c7f7de,gt-diagnostic-v2::rk2_auto::synth_0002::seed_000,synth_0002,0,rk2_auto,large,comparable,8
reviewer_1,9,item_69b4de75a8c5,gt-diagnostic-v2::rk2_gt::synth_0005::seed_000,synth_0005,0,rk2_gt,medium,comparable,9
reviewer_1,10,item_c00791735bdb,gt-diagnostic-v2::rk2_gt::synth_0000::seed_000,synth_0000,0,rk2_gt,small,comparable,10
reviewer_1,11,item_b497a65068c7,gt-diagnostic-v2::endpoint_auto::synth_0020::seed_000,synth_0020,0,endpoint_auto,large,comparable,11
reviewer_1,12,item_2bacc19567e0,gt-diagnostic-v2::rk2_gt::synth_0006::seed_000,synth_0006,0,rk2_gt,small,comparable,12
reviewer_1,13,item_abe9d361e756,gt-diagnostic-v2::rk2_n15_gt::synth_0026::seed_000,synth_0026,0,rk2_n15_gt,small,expansion,13
reviewer_1,14,item_85e416e01a2f,gt-diagnostic-v2::rk2_gt::synth_0032::seed_000,synth_0032,0,rk2_gt,small,expansion,14
reviewer_1,15,item_4a51b98410a4,gt-diagnostic-v2::rk2_auto::synth_0031::seed_000,synth_0031,0,rk2_auto,medium,expansion,15
reviewer_1,16,item_d2c144690d63,gt-diagnostic-v2::endpoint_auto::synth_0003::seed_000,synth_0003,0,endpoint_auto,large,comparable,16
reviewer_1,17,item_eb60950c3170,gt-diagnostic-v2::rk2_n15_auto::synth_0011::seed_000,synth_0011,0,rk2_n15_auto,small,comparable,17
reviewer_1,18,item_5c2abecf0812,gt-diagnostic-v2::rk2_n15_auto::synth_0056::seed_000,synth_0056,0,rk2_n15_auto,medium,comparable,18
reviewer_1,19,item_cfa3f23825c9,gt-diagnostic-v2::rk2_gt::synth_0016::seed_000,synth_0016,0,rk2_gt,large,comparable,19
reviewer_1,20,item_02138830745c,gt-diagnostic-v2::endpoint_gt::synth_0026::seed_000,synth_0026,0,endpoint_gt,small,expansion,20
reviewer_1,21,item_94e6733b2ca5,gt-diagnostic-v2::rk2_gt::synth_0028::seed_000,synth_0028,0,rk2_gt,small,comparable,21
reviewer_1,22,item_b555155249e5,gt-diagnostic-v2::rk2_auto::synth_0012::seed_000,synth_0012,0,rk2_auto,large,comparable,22
reviewer_1,23,item_bdfa59edb03b,gt-diagnostic-v2::rk2_n15_gt::synth_0012::seed_000,synth_0012,0,rk2_n15_gt,large,comparable,23
reviewer_1,24,item_99a3e9883be5,gt-diagnostic-v2::rk2_auto::synth_0005::seed_000,synth_0005,0,rk2_auto,medium,comparable,24
reviewer_1,25,item_c386ebc89920,gt-diagnostic-v2::rk2_n15_gt::synth_0055::seed_000,synth_0055,0,rk2_n15_gt,large,comparable,25
reviewer_1,26,item_4c7e3a6e6a9f,gt-diagnostic-v2::rk2_gt::synth_0035::seed_000,synth_0035,0,rk2_gt,small,expansion,26
reviewer_1,27,item_5213931b4068,gt-diagnostic-v2::rk2_gt::synth_0059::seed_000,synth_0059,0,rk2_gt,medium,comparable,27
reviewer_1,28,item_174887985d9c,gt-diagnostic-v2::rk2_auto::synth_0027::seed_000,synth_0027,0,rk2_auto,large,comparable,28
reviewer_1,29,item_ed24085c3c8e,gt-diagnostic-v2::endpoint_gt::synth_0006::seed_000,synth_0006,0,endpoint_gt,small,comparable,29
reviewer_1,30,item_ff1b7a12d33d,gt-diagnostic-v2::endpoint_gt::synth_0037::seed_000,synth_0037,0,endpoint_gt,small,expansion,30
reviewer_1,31,item_bdafcb92483d,gt-diagnostic-v2::rk2_n15_auto::synth_0033::seed_000,synth_0033,0,rk2_n15_auto,medium,comparable,31
reviewer_1,32,item_2291015d44b7,gt-diagnostic-v2::rk2_n15_auto::synth_0030::seed_000,synth_0030,0,rk2_n15_auto,small,contraction,32
reviewer_1,33,item_bbf9c8243464,gt-diagnostic-v2::rk2_n15_auto::synth_0038::seed_000,synth_0038,0,rk2_n15_auto,large,expansion,33
reviewer_1,34,item_d9596d60871b,gt-diagnostic-v2::rk2_n15_auto::synth_0002::seed_000,synth_0002,0,rk2_n15_auto,large,comparable,34
reviewer_1,35,item_39b1816beb15,gt-diagnostic-v2::rk2_auto::synth_0034::seed_000,synth_0034,0,rk2_auto,small,expansion,35
reviewer_1,36,item_4255a7d199b8,gt-diagnostic-v2::endpoint_gt::synth_0010::seed_000,synth_0010,0,endpoint_gt,medium,comparable,36
reviewer_1,37,item_825fb4159398,gt-diagnostic-v2::rk2_n15_gt::synth_0031::seed_000,synth_0031,0,rk2_n15_gt,medium,expansion,37
reviewer_1,38,item_7278b95ac83c,gt-diagnostic-v2::rk2_n15_auto::synth_0031::seed_000,synth_0031,0,rk2_n15_auto,medium,expansion,38
