review_uid,part,edit,source_prompt,target_prompt,source_image,candidate_image,local_edit_success_0_2,non_target_preservation_0_2,overall_prompt_adherence_0_2,visual_quality_0_2,short_note
item_1a6285d10c64,hair,Curls,A Portrait of man at a house,A Portrait of man with Curls hair at a house,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/gt_mask_diagnostic_v2/blinded_review/reviewer_2/assets/source_1837be64cd68.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/gt_mask_diagnostic_v2/blinded_review/reviewer_2/assets/item_1a6285d10c64.jpg,,,,,
item_d9eb7243b054,head,robot,A alien at a museum,A alien with robot head at a museum,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/gt_mask_diagnostic_v2/blinded_review/reviewer_2/assets/source_0776f3ccf0e9.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/gt_mask_diagnostic_v2/blinded_review/reviewer_2/assets/item_d9eb7243b054.jpg,,,,,
item_1b722fd817f0,car body,armored,A luxury-car at a mountain road,A luxury-car with armored car body at a mountain road,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/gt_mask_diagnostic_v2/blinded_review/reviewer_2/assets/source_4a1c085cfce4.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/gt_mask_diagnostic_v2/blinded_review/reviewer_2/assets/item_1b722fd817f0.jpg,,,,,
item_204089a44545,head,dragon,A horse at a zoo,A horse with dragon head at a zoo,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/gt_mask_diagnostic_v2/blinded_review/reviewer_2/assets/source_dbfa710ac399.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/gt_mask_diagnostic_v2/blinded_review/reviewer_2/assets/item_204089a44545.jpg,,,,,
item_5ef6191c3aa4,torso,robotic-parts,A dinosaur at a museum,A dinosaur with robotic-parts torso at a museum,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/gt_mask_diagnostic_v2/blinded_review/reviewer_2/assets/source_1e3c08a912fe.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/gt_mask_diagnostic_v2/blinded_review/reviewer_2/assets/item_5ef6191c3aa4.jpg,,,,,
item_0179bc6f5434,torso,armor,A girl at a stadium,A girl with armor torso at a stadium,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/gt_mask_diagnostic_v2/blinded_review/reviewer_2/assets/source_05f0e921e87d.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/gt_mask_diagnostic_v2/blinded_review/reviewer_2/assets/item_0179bc6f5434.jpg,,,,,
item_724723a2d041,car hood,Graffiti,A full front facing view of Toyota car at a parking lot,A full front facing view of Toyota car with Graffiti car hood at a parking lot,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/gt_mask_diagnostic_v2/blinded_review/reviewer_2/assets/source_d13dfe80a435.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/gt_mask_diagnostic_v2/blinded_review/reviewer_2/assets/item_724723a2d041.jpg,,,,,
item_29e96fac6cbf,car body,futuristic,A sedan at a parking lot,A sedan with futuristic car body at a parking lot,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/gt_mask_diagnostic_v2/blinded_review/reviewer_2/assets/source_ef3648f18171.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/gt_mask_diagnostic_v2/blinded_review/reviewer_2/assets/item_29e96fac6cbf.jpg,,,,,
item_0cb54e42d8d1,head,dragon,A horse at a jungle,A horse with dragon head at a jungle,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/gt_mask_diagnostic_v2/blinded_review/reviewer_2/assets/source_2b822a970173.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/gt_mask_diagnostic_v2/blinded_review/reviewer_2/assets/item_0cb54e42d8d1.jpg,,,,,
item_7926fe9e5778,seat,rusted,A closeup folding chair at a classroom,A closeup folding chair with rusted seat at a classroom,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/gt_mask_diagnostic_v2/blinded_review/reviewer_2/assets/source_97eab3ccdecd.png,/Users/pt623/Documents/career-vault-resume/applications/hkust-harry-yang/part-level-overediting/core/results/gt_mask_diagnostic_v2/blinded_review/reviewer_2/assets/item_7926fe9e5778.jpg,,,,,
